entry_id,name,formula,spacegroup,crystal_structure,band_gap,is_metal,energy_above_hull,is_stable,delta_e
824862,SnHO3,H4O12Sn4,Pnma,orthorhombic,0.0,True,0.3186511836621233,False,-1.21045853483433
353984,SnHgO3,HgO3Sn,Pm-3m,cubic,0.0,True,0.3317734116666633,False,-1.02632515389075
354115,SnHgO3,HgO3Sn,Pm-3m,cubic,0.0,True,1.1072827116666664,False,-0.250815853890747
23661,SnHgO3,Hg2O6Sn2,R-3c,trigonal,0.0,True,0.0630370576666634,False,-1.29506150789075
693625,SnHgO3,HgO3Sn,P4mm,tetragonal,0.0,True,0.2868256356666634,False,-1.07127292989075
692541,SnHgO3,Hg2O6Sn2,R-3,trigonal,0.234,False,0.0444980596666633,False,-1.31360050589075
693083,SnHgO3,Hg4O12Sn4,Pnma,orthorhombic,0.235,False,0.0712063166666634,False,-1.28689224889075
826091,SnHgO3,Hg2O6Sn2,R-3c,trigonal,0.23,False,0.0600951206666633,False,-1.29800344489075
1440638,SnHgO3,Hg2O6Sn2,P-1,triclinic,0.0,True,0.1456835706666632,False,-1.21241499489075
352242,SnIrO3,IrO3Sn,Pm-3m,cubic,0.0,True,0.6789893830000012,False,-0.814835804897493
352362,SnIrO3,IrO3Sn,Pm-3m,cubic,0.0,True,1.2883103570000012,False,-0.205514830897493
349994,SnMoO3,MoO3Sn,Pm-3m,cubic,0.0,True,0.2367537230000029,False,-1.67113515089749
351282,SnMoO3,MoO3Sn,Pm-3m,cubic,0.0,True,1.191193246999999,False,-0.716695626897494
679739,SnMoO3,MoO3Sn,P4mm,tetragonal,0.0,True,0.2399455410000031,False,-1.66794333289749
679738,SnMoO3,MoO3Sn,P4mm,tetragonal,0.0,True,0.8076325950000032,False,-1.10025627889749
678088,SnMoO3,Mo2O6Sn2,R-3,trigonal,0.0,True,0.1257460840000031,False,-1.78214278989749
678089,SnMoO3,Mo2O6Sn2,R-3,trigonal,0.0,True,0.1328070260000031,False,-1.77508184789749
681359,SnMoO3,Mo4O12Sn4,Pnma,orthorhombic,0.0,True,0.2267805530000031,False,-1.68110832089749
681358,SnMoO3,Mo4O12Sn4,Pnma,orthorhombic,0.0,True,0.3630821570000031,False,-1.54480671689749
826390,SnMoO3,Mo2O6Sn2,R-3c,trigonal,0.0,True,0.4555087350000031,False,-1.45238013889749
826978,SnMoO3,Mo2O6Sn2,R-3c,trigonal,0.0,True,0.2308227210000031,False,-1.67706615289749
350251,SnOsO3,O3OsSn,Pm-3m,cubic,0.0,True,0.5467373900000012,False,-0.975662824897493
354181,SnOsO3,O3OsSn,Pm-3m,cubic,0.0,True,1.4357894800000013,False,-0.0866107348974929
354057,SnPbO3,O3PbSn,Pm-3m,cubic,0.0,True,0.7950283667500021,False,-0.934555034897493
352981,SnPbO3,O3PbSn,Pm-3m,cubic,1.502,False,0.1109713347500052,False,-1.61861206689749
3064,SnPbO3,O12Pb4Sn4,Fd-3m,cubic,0.0,True,0.1505865922500051,False,-1.57899680939749
681043,SnPbO3,O3PbSn,P4mm,tetragonal,1.399,False,0.0910402747500052,False,-1.63854312689749
681044,SnPbO3,O3PbSn,P4mm,tetragonal,0.0,True,0.5953773307500052,False,-1.13420607089749
679426,SnPbO3,O6Pb2Sn2,R-3,trigonal,2.28,False,0.017492846750005,False,-1.71209055489749
679427,SnPbO3,O6Pb2Sn2,R-3,trigonal,1.937,False,0.0335525877500051,False,-1.69603081389749
682663,SnPbO3,O12Pb4Sn4,Pnma,orthorhombic,1.496,False,0.076802439250005,False,-1.65278096239749
826642,SnPbO3,O6Pb2Sn2,R-3c,trigonal,1.879,False,0.073582838750005,False,-1.65600056289749
351849,SnPdO3,O3PdSn,Pm-3m,cubic,0.0,True,0.7636291105000003,False,-0.679072046897493
353753,SnPdO3,O3PdSn,Pm-3m,cubic,0.0,True,0.7851868804999993,False,-0.657514276897494
351967,SnPtO3,O3PtSn,Pm-3m,cubic,0.0,True,0.7663366239999998,False,-0.644427592897493
353306,SnPtO3,O3PtSn,Pm-3m,cubic,0.0,True,0.9775629379999988,False,-0.433201278897494
351323,SnRhO3,O3RhSn,Pm-3m,cubic,0.0,True,0.6063216124999994,False,-0.879785100897493
351352,SnRhO3,O3RhSn,Pm-3m,cubic,0.0,True,0.8745644824999993,False,-0.611542230897493
353169,SnRuO3,O3RuSn,Pm-3m,cubic,0.0,True,0.9908601915000014,False,-0.563585208897493
353634,SnRuO3,O3RuSn,Pm-3m,cubic,0.0,True,0.4930381855000043,False,-1.06140721489749
694021,SnRuO3,O3RuSn,P4mm,tetragonal,0.0,True,0.4221964555000044,False,-1.13224894489749
692937,SnRuO3,O6Ru2Sn2,R-3,trigonal,0.0,True,0.3651773035000043,False,-1.18926809689749
693479,SnRuO3,O12Ru4Sn4,Pnma,orthorhombic,0.0,True,0.3292002155000044,False,-1.22524518489749
826986,SnRuO3,O6Ru2Sn2,R-3c,trigonal,0.0,True,0.3764064975000043,False,-1.17803890289749
